kmerlen,c,worth,coverage
15,1,108,108
15,1,79,79
15,1,66,66
15,1,35,35
15,1,25,25
15,1,20,21
15,1,18,24
15,1,10,12
15,1,10,10
15,1,9,10
15,1,8,55
15,1,8,9
15,1,6,14
15,1,6,11
15,1,6,8
15,1,5,61
15,1,5,9
15,1,5,6
15,1,5,5
15,1,4,54
15,1,4,28
15,1,4,12
15,1,4,6
15,1,3,33
15,1,3,32
15,1,3,11
15,1,3,4
15,1,3,3
15,1,3,3
15,1,2,60
15,1,2,21
15,1,2,12
15,1,2,11
15,1,2,5
15,1,2,4
15,1,2,2
15,1,2,2
15,1,2,2
15,1,2,2
15,1,1,18
15,1,1,16
15,1,1,2
15,1,1,2
15,1,1,2
15,1,1,2
15,1,1,1
15,1,1,1
15,1,1,1
15,1,1,1
19,1,62,62
19,1,50,50
19,1,28,28
19,1,23,23
19,1,22,28
19,1,21,22
19,1,20,51
19,1,20,20
19,1,15,25
19,1,11,11
19,1,8,9
19,1,8,8
19,1,8,8
19,1,7,41
19,1,7,19
19,1,7,13
19,1,5,22
19,1,5,19
19,1,5,10
19,1,5,10
19,1,5,5
19,1,5,5
19,1,4,10
19,1,4,6
19,1,4,5
19,1,3,54
19,1,3,21
19,1,3,15
19,1,3,8
19,1,3,6
19,1,3,5
19,1,3,4
19,1,3,3
19,1,3,3
19,1,3,3
19,1,3,3
19,1,3,3
19,1,2,21
19,1,2,13
19,1,2,5
19,1,2,5
19,1,2,5
19,1,2,4
19,1,2,3
19,1,2,3
19,1,2,3
19,1,2,3
19,1,2,2
19,1,2,2
19,1,2,2
19,1,2,2
19,1,1,23
19,1,1,22
19,1,1,20
19,1,1,15
19,1,1,12
19,1,1,8
19,1,1,6
19,1,1,4
19,1,1,3
19,1,1,3
19,1,1,3
19,1,1,1
19,1,1,1
19,1,1,1
19,1,1,1
19,1,1,1
19,1,1,1
19,1,1,1
19,1,1,1
19,1,1,1
19,1,1,1
19,1,1,1
19,1,1,1
23,1,57,57
23,1,46,46
23,1,38,38
23,1,27,27
23,1,25,25
23,1,21,21
23,1,20,20
23,1,16,36
23,1,15,15
23,1,12,12
23,1,11,16
23,1,11,11
23,1,7,11
23,1,7,7
23,1,7,7
23,1,7,7
23,1,6,7
23,1,6,6
23,1,5,21
23,1,5,5
23,1,4,28
23,1,4,5
23,1,4,4
23,1,4,4
23,1,3,15
23,1,3,8
23,1,3,8
23,1,3,4
23,1,3,4
23,1,3,3
23,1,3,3
23,1,3,3
23,1,3,3
23,1,3,3
23,1,3,3
23,1,3,3
23,1,2,20
23,1,2,18
23,1,2,17
23,1,2,13
23,1,2,7
23,1,2,7
23,1,2,6
23,1,2,6
23,1,2,5
23,1,2,4
23,1,2,3
23,1,2,3
23,1,2,3
23,1,2,2
23,1,2,2
23,1,2,2
23,1,2,2
23,1,2,2
23,1,2,2
23,1,2,2
23,1,2,2
23,1,2,2
23,1,2,2
23,1,2,2
23,1,2,2
23,1,1,29
23,1,1,17
23,1,1,15
23,1,1,14
23,1,1,13
23,1,1,12
23,1,1,8
23,1,1,8
23,1,1,6
23,1,1,5
23,1,1,5
23,1,1,4
23,1,1,4
23,1,1,3
23,1,1,3
23,1,1,3
23,1,1,3
23,1,1,3
23,1,1,3
23,1,1,2
23,1,1,2
23,1,1,2
23,1,1,1
23,1,1,1
23,1,1,1
23,1,1,1
23,1,1,1
23,1,1,1
23,1,1,1
23,1,1,1
23,1,1,1
23,1,1,1
23,1,1,1
23,1,1,1
23,1,1,1
27,1,57,57
27,1,37,37
27,1,33,33
27,1,28,28
27,1,18,18
27,1,15,15
27,1,14,14
27,1,12,12
27,1,11,11
27,1,10,10
27,1,8,25
27,1,7,7
27,1,7,7
27,1,7,7
27,1,6,6
27,1,5,15
27,1,5,6
27,1,5,5
27,1,5,5
27,1,4,31
27,1,4,4
27,1,4,4
27,1,3,11
27,1,3,3
27,1,3,3
27,1,3,3
27,1,3,3
27,1,3,3
27,1,3,3
27,1,3,3
27,1,3,3
27,1,3,3
27,1,3,3
27,1,2,8
27,1,2,7
27,1,2,5
27,1,2,5
27,1,2,5
27,1,2,4
27,1,2,4
27,1,2,2
27,1,2,2
27,1,2,2
27,1,2,2
27,1,2,2
27,1,2,2
27,1,2,2
27,1,2,2
27,1,2,2
27,1,2,2
27,1,2,2
27,1,2,2
27,1,1,29
27,1,1,22
27,1,1,17
27,1,1,16
27,1,1,15
27,1,1,14
27,1,1,12
27,1,1,11
27,1,1,10
27,1,1,9
27,1,1,6
27,1,1,6
27,1,1,5
27,1,1,5
27,1,1,4
27,1,1,4
27,1,1,4
27,1,1,4
27,1,1,3
27,1,1,3
27,1,1,3
27,1,1,3
27,1,1,3
27,1,1,3
27,1,1,3
27,1,1,3
27,1,1,3
27,1,1,2
27,1,1,2
27,1,1,2
27,1,1,2
27,1,1,2
27,1,1,2
27,1,1,2
27,1,1,2
27,1,1,2
27,1,1,2
27,1,1,2
27,1,1,2
27,1,1,2
27,1,1,2
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
27,1,1,1
31,1,57,57
31,1,36,36
31,1,31,31
31,1,28,28
31,1,17,17
31,1,16,16
31,1,15,15
31,1,13,13
31,1,12,12
31,1,11,11
31,1,10,14
31,1,10,10
31,1,9,9
31,1,7,22
31,1,7,7
31,1,6,6
31,1,5,15
31,1,5,5
31,1,5,5
31,1,4,7
31,1,4,6
31,1,4,4
31,1,4,4
31,1,3,11
31,1,3,6
31,1,3,3
31,1,3,3
31,1,3,3
31,1,3,3
31,1,3,3
31,1,3,3
31,1,3,3
31,1,3,3
31,1,3,3
31,1,3,3
31,1,3,3
31,1,2,30
31,1,2,5
31,1,2,5
31,1,2,2
31,1,2,2
31,1,2,2
31,1,2,2
31,1,2,2
31,1,2,2
31,1,2,2
31,1,2,2
31,1,2,2
31,1,2,2
31,1,2,2
31,1,2,2
31,1,2,2
31,1,1,17
31,1,1,17
31,1,1,16
31,1,1,14
31,1,1,14
31,1,1,13
31,1,1,12
31,1,1,8
31,1,1,6
31,1,1,5
31,1,1,5
31,1,1,5
31,1,1,4
31,1,1,4
31,1,1,4
31,1,1,3
31,1,1,3
31,1,1,3
31,1,1,3
31,1,1,3
31,1,1,2
31,1,1,2
31,1,1,2
31,1,1,2
31,1,1,2
31,1,1,2
31,1,1,2
31,1,1,2
31,1,1,2
31,1,1,2
31,1,1,2
31,1,1,2
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
31,1,1,1
